path,filer_cik10,accession_nodash,exhibit_file,prepared_chars
sec_cache_light_fix/CIK51143/000110465907078049/a07-24846_1ex10d5.htm,51143,110465907078049,a07-24846_1ex10d5.htm,28000
sec_cache_light_fix/CIK51143/000110465905018203/a05-7213_1ex10d3.htm,51143,110465905018203,a05-7213_1ex10d3.htm,23825
sec_cache_light_fix/CIK51143/000110465918071763/a18-41255_1ex99d2.htm,51143,110465918071763,a18-41255_1ex99d2.htm,9068
sec_cache_light_fix/CIK51143/000110465918064384/a18-37205_2ex10d1.htm,51143,110465918064384,a18-37205_2ex10d1.htm,28000
sec_cache_light_fix/CIK51143/000110465918064384/a18-37205_2ex2d1.htm,51143,110465918064384,a18-37205_2ex2d1.htm,28000
sec_cache_light_fix/CIK63276/000089843002001333/dex992.txt,63276,89843002001333,dex992.txt,18143
sec_cache_light_fix/CIK63276/000089843002001098/dex101.txt,63276,89843002001098,dex101.txt,28000
sec_cache_light_fix/CIK63276/000089843002001098/dex1058.txt,63276,89843002001098,dex1058.txt,28000
sec_cache_light_fix/CIK1101302/000119312504061482/dex101.htm,1101302,119312504061482,dex101.htm,19918
sec_cache_light_fix/CIK797721/000119312517276319/d441488dex992.htm,797721,119312517276319,d441488dex992.htm,9224
sec_cache_light_fix/CIK797721/000119312517280727/d455251dex102.htm,797721,119312517280727,d455251dex102.htm,28000
sec_cache_light_fix/CIK65770/000119312519001180/d676446dex101.htm,65770,119312519001180,d676446dex101.htm,18829
sec_cache_light_fix/CIK65770/000119312516717872/d263921dex101.htm,65770,119312516717872,d263921dex101.htm,28000
sec_cache_light_fix/CIK65770/000119312516800638/d287711dex101.htm,65770,119312516800638,d287711dex101.htm,18475
sec_cache_light_fix/CIK78003/000091412109000324/pf11518635-ex2_1.txt,78003,91412109000324,pf11518635-ex2_1.txt,28000
sec_cache_light_fix/CIK72162/000007216201500009/nlform_10q2q2001ex10-1.txt,72162,7216201500009,nlform_10q2q2001ex10-1.txt,5409
sec_cache_light_fix/CIK72162/000007216203000016/nlform_10q2q2003ex10-2.txt,72162,7216203000016,nlform_10q2q2003ex10-2.txt,5419
sec_cache_light_fix/CIK72162/000117623603000004/nlform_10k2002ex10-49.txt,72162,117623603000004,nlform_10k2002ex10-49.txt,10516
sec_cache_light_fix/CIK72162/000117623603000004/nlform_10k2002ex10-48.txt,72162,117623603000004,nlform_10k2002ex10-48.txt,10520
sec_cache_light_fix/CIK72162/000117623603000004/nlform_10k2002ex10-46.txt,72162,117623603000004,nlform_10k2002ex10-46.txt,10518
sec_cache_light_fix/CIK72162/000117623603000004/nlform_10k2002ex10-47.txt,72162,117623603000004,nlform_10k2002ex10-47.txt,10518
sec_cache_light_fix/CIK72162/000005925508000143/exhibit101.htm,72162,5925508000143,exhibit101.htm,24718
sec_cache_light_fix/CIK72162/000005925508000143/exhibit102.htm,72162,5925508000143,exhibit102.htm,14871
sec_cache_light_fix/CIK72162/000005925508000143/exhibit104.htm,72162,5925508000143,exhibit104.htm,28000
sec_cache_light_fix/CIK72162/000156459019007207/nl-ex1012_545.htm,72162,156459019007207,nl-ex1012_545.htm,9432
sec_cache_light_fix/CIK31462/000110465908069367/a08-28035_1ex10d1.htm,31462,110465908069367,a08-28035_1ex10d1.htm,20289
sec_cache_light_fix/CIK1321834/000149315220009092/ex10-8.htm,1321834,149315220009092,ex10-8.htm,10064
sec_cache_light_fix/CIK1321834/000149315217011555/ex10-1.htm,1321834,149315217011555,ex10-1.htm,20182
sec_cache_light_fix/CIK1321834/000149315220008921/ex10-1.htm,1321834,149315220008921,ex10-1.htm,28000
sec_cache_light_fix/CIK1321834/000149315220008921/ex99-2.htm,1321834,149315220008921,ex99-2.htm,5324
sec_cache_light_fix/CIK1321834/000149315220006035/ex10-1.htm,1321834,149315220006035,ex10-1.htm,28000
sec_cache_light_fix/CIK1321834/000149315220006035/ex99-2.htm,1321834,149315220006035,ex99-2.htm,5338
sec_cache_light_fix/CIK1321834/000149315220004577/ex10-1.htm,1321834,149315220004577,ex10-1.htm,28000
sec_cache_light_fix/CIK1308547/000115752307011033/a5541272ex99_2.txt,1308547,115752307011033,a5541272ex99_2.txt,5432
sec_cache_light_fix/CIK1308547/000119312507243696/dex21.htm,1308547,119312507243696,dex21.htm,28000
sec_cache_light_fix/CIK2488/000119312512170747/d337084dex992.htm,2488,119312512170747,d337084dex992.htm,24303
sec_cache_light_fix/CIK2488/000119312507087794/dex992.htm,2488,119312507087794,dex992.htm,28000
sec_cache_light_fix/CIK2488/000119312512222047/d312884dex101.htm,2488,119312512222047,d312884dex101.htm,20289
sec_cache_light_fix/CIK2488/000119312503033907/dex1054.htm,2488,119312503033907,dex1054.htm,28000
sec_cache_light_fix/CIK2488/000119312503033907/dex1044.htm,2488,119312503033907,dex1044.htm,28000
sec_cache_light_fix/CIK2488/000119312503033907/dex1051.htm,2488,119312503033907,dex1051.htm,28000
sec_cache_light_fix/CIK2488/000119312503033907/dex1053.htm,2488,119312503033907,dex1053.htm,28000
sec_cache_light_fix/CIK1384905/000138490520000008/rng-20191231xex1020.htm,1384905,138490520000008,rng-20191231xex1020.htm,10560
sec_cache_light_fix/CIK1384905/000138490520000008/rng-20191231xex1024.htm,1384905,138490520000008,rng-20191231xex1024.htm,28000
sec_cache_light_fix/CIK1384905/000119312521324526/d440055dex101.htm,1384905,119312521324526,d440055dex101.htm,28000
sec_cache_light_fix/CIK1384905/000119312521324526/d440055dex102.htm,1384905,119312521324526,d440055dex102.htm,28000
sec_cache_light_fix/CIK1384905/000119312521324526/d440055dex103.htm,1384905,119312521324526,d440055dex103.htm,23478
sec_cache_light_fix/CIK1384905/000119312521324526/d440055dex104.htm,1384905,119312521324526,d440055dex104.htm,23811
sec_cache_light_fix/CIK1384905/000119312519261770/d813527dex101.htm,1384905,119312519261770,d813527dex101.htm,28000
sec_cache_light_fix/CIK874015/000104746902003818/a2094332zex-10_3.htm,874015,104746902003818,a2094332zex-10_3.htm,28000
sec_cache_light_fix/CIK2969/000119312516773346/d271291dex1015.htm,2969,119312516773346,d271291dex1015.htm,18567
sec_cache_light_fix/CIK866374/000086637419000013/flex-927201910xq.htm,866374,86637419000013,flex-927201910xq.htm,28000
sec_cache_light_fix/CIK866374/000086637419000010/flex-628201910xq.htm,866374,86637419000010,flex-628201910xq.htm,28000
sec_cache_light_fix/CIK899923/000119312509181226/dex1027.htm,899923,119312509181226,dex1027.htm,14121
sec_cache_light_fix/CIK899923/000119312509181226/dex1028.htm,899923,119312509181226,dex1028.htm,14114
sec_cache_light_fix/CIK899923/000119312509145168/dex102.htm,899923,119312509145168,dex102.htm,28000
sec_cache_light_fix/CIK899923/000119312509145168/dex21.htm,899923,119312509145168,dex21.htm,28000
sec_cache_light_fix/CIK40545/000004054520000009/geform10-k2019xex10z.htm,40545,4054520000009,geform10-k2019xex10z.htm,15858
sec_cache_light_fix/CIK40545/000004054520000009/geform10-k2019xex10x.htm,40545,4054520000009,geform10-k2019xex10x.htm,11440
sec_cache_light_fix/CIK6951/000095013406017127/f23348exv2w1.htm,6951,95013406017127,f23348exv2w1.htm,28000
sec_cache_light_fix/CIK18230/000001823015000061/cat_exx13x12312014.htm,18230,1823015000061,cat_exx13x12312014.htm,28000
sec_cache_light_fix/CIK200406/000020040621000067/a2021q3exhibit992.htm,200406,20040621000067,a2021q3exhibit992.htm,24668
sec_cache_light_fix/CIK200406/000020040613000038/ex13-form10xk20121230.htm,200406,20040613000038,ex13-form10xk20121230.htm,28000
sec_cache_light_fix/CIK200406/000095015717000161/ex2-1.htm,200406,95015717000161,ex2-1.htm,28000
sec_cache_light_fix/CIK200406/000020040621000053/a2021q2exhibit992final.htm,200406,20040621000053,a2021q2exhibit992final.htm,24670
sec_cache_light_fix/CIK200406/000020040614000033/ex13-form10xk20131229.htm,200406,20040614000033,ex13-form10xk20131229.htm,28000
sec_cache_light_fix/CIK320187/000032018718000142/nke-5312018xexhibit1017.htm,320187,32018718000142,nke-5312018xexhibit1017.htm,28000
sec_cache_light_fix/CIK320187/000032018715000113/nke-5312015xexhibit105.htm,320187,32018715000113,nke-5312015xexhibit105.htm,28000
sec_cache_light_fix/CIK320187/000032018720000008/nkeexhibit101.htm,320187,32018720000008,nkeexhibit101.htm,24719
sec_cache_light_fix/CIK320187/000032018719000075/nkeex101.htm,320187,32018719000075,nkeex101.htm,28000
sec_cache_light_fix/CIK320187/000032018719000075/nkeex103.htm,320187,32018719000075,nkeex103.htm,28000
sec_cache_light_fix/CIK320187/000032018716000336/nke-5312016xexhibit1017.htm,320187,32018716000336,nke-5312016xexhibit1017.htm,24680
sec_cache_light_fix/CIK320193/000119312515023732/d835617dex992.htm,320193,119312515023732,d835617dex992.htm,28000
sec_cache_light_fix/CIK1023024/000110465909049729/a09-23104_1ex10d1.htm,1023024,110465909049729,a09-23104_1ex10d1.htm,28000
sec_cache_light_fix/CIK1023024/000110465909058866/a09-31590_1ex4d2.htm,1023024,110465909058866,a09-31590_1ex4d2.htm,20279
sec_cache_light_fix/CIK1645590/000162828016022144/ex-101x12162016.htm,1645590,162828016022144,ex-101x12162016.htm,28000
sec_cache_light_fix/CIK1645590/000119312515341954/d31058dex42.htm,1645590,119312515341954,d31058dex42.htm,28000
sec_cache_light_fix/CIK1645590/000119312515341954/d31058dex410.htm,1645590,119312515341954,d31058dex410.htm,28000
sec_cache_light_fix/CIK1645590/000119312517289443/d435075dex42.htm,1645590,119312517289443,d435075dex42.htm,28000
sec_cache_light_fix/CIK1645590/000119312517125309/d266121dex992.htm,1645590,119312517125309,d266121dex992.htm,5393
sec_cache_light_fix/CIK1645590/000114036120016321/nt10013377x6_ex4-2.htm,1645590,114036120016321,nt10013377x6_ex4-2.htm,28000
