or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik
ASHCROFT ANTHONY MICHAEL,APPLE INC,2014-12-08,22,,320193.0
ASHCROFT ANTHONY MICHAEL,APPLE INC,2015-01-19,38,,320193.0
ASHCROFT ANTHONY MICHAEL,APPLE INC,2020-07-01,20,,320193.0
ASHWELL SUSAN,FORMA THERAPEUTICS INC,2016-06-16,20,,1001316.0
ASYST TECHNOLOGIES INC,ENTEGRIS CAYMAN LTD,2003-05-09,24,1321834.0,
AT DEVELOPMENT SWITZERLAND SÀRL,ADC THERAPEUTICS SA,2016-08-30,20,,1771910.0
ATHENA NEUROSCIENCES INC,ELAN PHARMACEUTICALS INC,2009-09-16,21,,1023024.0
ATT CORP,LUCENT TECHNOLOGIES INC,1996-03-29,113,,1726079.0
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2008-06-30,55,732717.0,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2009-08-24,54,732717.0,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2012-01-31,31,732717.0,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2013-05-08,119,732717.0,
ATT DELAWARE INTELLECTUAL PROPERTY INC FKA ATT BLS INTELLECTUAL PROPERTY INC FKA ATT INTELLECTUAL PROPERTY INC FKA BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-12-10,51,732717.0,
ATT DELAWARE INTELLECTUAL PROPERTY INC FORMERLY KNOWN AS ATT BLS INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS ATT INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-10-15,32,732717.0,
BABIARZ JOSHUA,NATERA INC,2015-04-20,32,,1604821.0
BAE JAEIL,LG ELECTRONICS INC,2020-02-07,37,,2058873.0
BAE SEHWAN,LG ELECTRONICS INC,2020-01-08,24,,2058873.0
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,FRANTORF INVESTMENTS GMBH LLC,2008-08-26,35,708781.0,
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,WISTERIUM DEVELOPMENT LLC,2009-07-23,24,708781.0,
BAE YONGJUN,LG ELECTRONICS INC,2021-03-30,40,,2058873.0
BAI AILIN,MODERNATX INC,2018-08-31,22,,1682852.0
BAKKE BRIAN E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-19,24,,51143.0
BALLARD POWER SYSTEMS INC,AUDI AG,2015-05-06,23,1453015.0,
BAMBROGAN BROGAN,HYPERLOOP TECHNOLOGIES INC,2016-01-26,24,,1321834.0
BANIK GARY J,WOLVERINE WORLD WIDE INC,2008-01-10,20,,110471.0
BANKER ADAM NATHAN,FORD GLOBAL TECHNOLOGIES LLC,2013-01-22,27,,932021.0
BASSO ANDREA,ATT LABS INC,2008-07-21,25,,732717.0
BATAILLE MARINE C,APPLE INC,2020-07-01,20,,320193.0
BATAILLOU JEREMY,APPLE INC,2014-12-09,21,,320193.0
BATAILLOU JEREMY,APPLE INC,2015-01-26,39,,320193.0
BATAILLOU JEREMY,APPLE INC,2020-08-12,20,,320193.0
BATAILLOU JEREMY,APPLE INC,2020-11-30,27,,320193.0
BATTEY ROBERT J,STEELCASE INC,2012-10-29,22,,1050825.0
BAXTER INTERNATIONAL INC,BAXALTA GMBH,2015-08-11,121,10456.0,
BAXTER INTERNATIONAL INC,BAXALTA INCORPORATED,2015-08-11,121,10456.0,
BAYS F BARRY,TREACE MEDICAL CONCEPTS INC,2016-10-18,23,,1630627.0
BAZINSKI ANDREW,FORD GLOBAL TECHNOLOGIES LLC,2019-03-27,23,,932021.0
BEAMAN BRIAN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-04,38,,51143.0
BEAUSOLEIL SEAN,DROPBOX INC,2016-02-19,20,,1467623.0
BECKMAN BRIAN C,AMAZON TECHNOLOGIES INC,2016-01-15,20,,1321834.0
BEE JENNIFER,NIKE INC,2018-10-26,20,,320187.0
BEENAU BLAYN W,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-01,20,,4962.0
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,,932021.0
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,,932021.0
BEHMER DARRELL PAUL,FORD GLOBAL TECHNOLOGIES LLC,2016-01-05,23,,932021.0
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2018-01-10,21,,217346.0
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2019-01-10,49,,217346.0
BELL HELICOPTER TEXTRON INC,BELL HELICOPTER RHODE ISLAND INC,2019-01-10,47,217346.0,
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2013-02-15,27,217346.0,217346.0
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2018-01-10,24,217346.0,217346.0
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2019-01-10,44,217346.0,217346.0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2020-01-01,58,217346.0,217346.0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2021-01-01,64,217346.0,217346.0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2022-01-02,47,217346.0,217346.0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2020-01-01,59,217346.0,217346.0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2021-01-01,65,217346.0,217346.0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2022-01-02,47,217346.0,217346.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2003-11-11,21,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2005-05-30,21,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-02-10,31,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-08-07,27,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-01-19,31,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-07-04,33,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-01-15,34,,110471.0
